8543750,0,-1
8543750,1,7
8545000,2,7
8545112,0,-1
8545112,1,15
8546044,2,15
8546158,0,-1
8546158,1,5
8547024,2,5
8547126,0,-1
8547255,1,6
8548697,2,6
8548809,0,-1
8548809,1,7
8549876,2,7
8549989,0,-1
8550216,1,6
8550904,2,6
8551017,0,-1
8551227,1,5
8552337,2,5
8552450,0,-1
8552547,1,13
8553305,2,13
8553417,0,-1
8553950,1,8
8555142,2,8
8555256,0,-1
8556129,1,10
8556818,2,10
8556930,0,-1
8557383,1,2
8558818,2,2
8558930,0,-1
8559269,1,3
8560172,2,3
8560286,0,-1
8560398,1,4
8561670,2,4
8561784,0,-1
8561784,1,6
8562430,2,6
8562542,0,-1
8562542,1,1
8563416,2,1
