8543265,0,-1
8544872,1,3
8546028,2,3
8546142,0,-1
8546687,1,4
8547319,2,4
8547433,0,-1
8547449,1,11
8548108,2,11
8548215,0,-1
8548263,1,15
8549731,2,15
8549844,0,-1
8550038,1,4
8551469,2,4
8551582,0,-1
8551582,1,9
8553016,2,9
8553128,0,-1
8553128,1,12
8554337,2,12
8554449,0,-1
8554788,1,10
8556128,2,10
8556240,0,-1
8556272,1,11
8557722,2,11
8557835,0,-1
8558076,1,0
8558690,2,0
8558802,0,-1
8558802,1,7
8559655,2,7
8559768,0,-1
8560172,1,3
8561639,2,3
8561751,0,-1
8561767,1,15
8563175,2,15
8563286,0,-1
8563286,1,9
8563882,2,9
8563995,0,-1
8563995,1,7
8565053,2,7
